artist,country,gender,language,popularity_bin,train_popularity,iteration_1_exposure,iteration_2_exposure
Brenda Lee,US,Female,en,low,1.4540378631459563e-05,0.0,0.0
Kid Cudi,US,Male,en,mid,0.0001163230290516765,0.0,0.0
Justin Bieber,CA,Male,en,high,0.0035042312501817547,0.0012815525947604254,0.00058517521397633
Kanye West,US,Male,en,high,0.006717654927734318,0.0047512996946655435,0.001701805184007652
Billy Joel,US,Male,en,high,0.004798324948381656,0.015317071196837503,0.02060811820432433
Kelly Clarkson,US,Female,en,high,0.003431529357024457,0.0005303415751787535,0.00014725058010582853
Kylie Minogue,AU,Female,en,high,0.006528630005525344,0.0025995917223043336,0.0012423030587770496
Lydia,ES,Female,en,mid,0.00013086340768313608,0.0,0.0
Ansel Elgort,US,Male,en,low,7.270189315729782e-05,0.0,0.0
Bob Moses,US,Male,en,high,0.0004943728734696252,0.0,0.0
Emma Bale,BE,Female,en,low,5.816151452583825e-05,0.0,0.0
Joni Mitchell,CA,Female,en,high,0.0008578823392561142,9.653414698596486e-05,0.0
Agnes,US,Female,en,low,1.4540378631459563e-05,0.0,0.0
Skrillex,US,Male,en,high,0.0005379940093640038,0.0007484559201790918,0.0
Ben Howard,UK,Male,en,high,0.002733591182714398,0.0007219038023067566,0.0
Luke Bryan,US,Male,en,mid,0.00017448454357751477,0.0,0.00019988674218075867
Example,UK,Male,en,high,0.0005525343879954634,0.0,0.0
Willie Nelson,US,Male,en,high,0.00031988832989211037,0.00024953714999782333,0.0
Devin Dawson,US,Male,en,low,4.362113589437869e-05,0.0,0.0
Frank Sinatra,US,Male,en,mid,0.00015994416494605519,0.0,0.0
RuPaul,US,Female,en,high,0.002268299066507692,0.0009060758430137452,7.213241292398154e-05
Angel Olsen,US,Female,en,high,0.0018175473289324454,0.00039232888638190267,0.00029450116021165706
Elvis Presley,US,Male,en,high,0.0029807776194492107,0.0023491746552333696,0.002228742371521871
Nando Reis,BR,Male,pt,low,4.362113589437869e-05,0.0,0.0
Bahamas,CA,Male,en,mid,0.0002762671939977317,0.0,0.00023042963010510298
Meghan Trainor,US,Female,en,mid,0.000232646058103353,0.0,0.0
Sting,UK,Male,en,high,0.0008724227178875738,9.653414698596486e-05,0.0
Matt Nathanson,US,Male,en,mid,0.00017448454357751477,0.0,0.0
Benny Sings,NL,Male,en,low,2.9080757262919125e-05,0.0,0.0
Dido,UK,Female,en,high,0.0042167098031232735,0.002514133368103651,0.00022957282547903204
Tim Maia,BR,Male,pt,high,0.0004798324948381656,0.0004958644888325511,0.0004078343671789448
Billie Holiday,US,Female,en,high,0.0011050687759909267,0.0010922418696985524,0.00012476857499891167
Jessie Ware,UK,Female,en,mid,0.0002762671939977317,0.00010746980087250656,0.0
Kim Petras,US,Female,en,high,0.0007270189315729781,0.0,0.0
Tamar Braxton,US,Female,en,mid,0.0001163230290516765,0.00012476857499891167,0.0
Bosse,DE,Male,de,low,7.270189315729782e-05,0.0,0.0
Patrick Stump,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Sabrina Carpenter,US,Female,en,high,0.0012213918050426034,0.0,0.00023912326064337125
Anika Noni Rose,US,Female,en,mid,0.00015994416494605519,0.0,0.0
Céline Dion,CA,Female,en,high,0.0006397766597842207,8.317904999927444e-05,0.0
Laura Marling,UK,Female,en,high,0.0011923110477796842,0.0005233650508688788,0.0002649102134275571
Beck,DK,Male,en,high,0.005496263122691715,0.021834129179599104,0.03302236337011528
Ty Segall,US,Male,en,high,0.0008724227178875738,0.00022957282547903204,0.0
Andrés Calamaro,AR,Male,es,low,2.9080757262919125e-05,0.0,0.0
Foxes in Fiction,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Belchior,BR,Male,pt,high,0.0011196091546223864,0.0006448517906375915,0.0006654323999941955
Gavin James,IE,Male,en,high,0.000567074766626923,0.0,0.0
Owl City,US,Male,en,high,0.0006252362811527613,0.00023223837587141825,0.0
David Bowie,UK,Male,en,high,0.0055980457731119315,0.0035532659928218828,0.0023425808801382205
Gary Moore,UK,Male,en,high,0.0005089132521010847,0.0,0.0
Ane Brun,NO,Female,en,high,0.00036350946578648906,7.511816718184699e-05,0.0
Michael Kiwanuka,UK,Male,en,low,7.270189315729782e-05,0.0,0.0
India.Arie,US,Female,en,mid,0.00017448454357751477,7.213241292398154e-05,0.0
Anahí,MX,Female,es,mid,0.00014540378631459563,0.0,0.0
Tori Amos,US,Female,en,high,0.004507517375752465,0.0012797339840611374,0.0002923757075561142
Lana Del Rey,US,Female,en,high,0.00796812749003984,0.013523153035838578,0.007752360651159311
Bonnie McKee,US,Female,en,low,7.270189315729782e-05,0.0,0.0
Rihanna,UK,Female,en,high,0.0059324744816355015,0.0029363562664071583,0.0018567797881291882
Paul Simon,US,Male,en,high,0.0013813359699886584,0.0004187254744398593,8.888692627967726e-05
Elis Regina,BR,Female,pt,high,0.00033442870852356995,0.0001618992562767997,8.317904999927444e-05
Beyoncé,US,Female,en,high,0.004958269113327711,0.003644611771522693,0.0024154746364802976
Frejat,BR,Male,no_lyrics,mid,0.0001163230290516765,0.000271788500249455,7.872020627752526e-05
Claudia Leitte,BR,Female,pt,mid,0.00018902492220897432,8.317904999927444e-05,0.0
Atlas Sound,US,Male,en,high,0.001032366882833629,0.00014725058010582853,0.00015085261920150679
Gregory Alan Isakov,US,Male,0,high,0.0028499142117660746,0.0023323160122022,0.0004971485892989753
Ryan Adams,US,Male,en,high,0.000465292116206706,0.0,8.317904999927444e-05
Amy Winehouse,UK,Female,en,high,0.00029080757262919127,0.0,0.00010746980087250656
Dante Ramon Ledesma,BR,Male,0,mid,0.00010178265042021695,0.0,9.653414698596486e-05
Nicki Minaj,US,Female,en,high,0.004013144502282839,0.0006237983283689312,0.0012428473195477592
Jvcki Wai,KR,Female,ko,low,1.4540378631459563e-05,0.0,0.0
Carpenter Brut,FR,Male,no_lyrics,high,0.0029226161049233724,0.0075549531824344865,0.011694045471174544
Novo Amor,UK,Male,en,high,0.0004216709803123273,0.0,7.511816718184699e-05
Sophia Black,US,Female,0,low,2.9080757262919125e-05,0.0,0.0
YEZI,KR,Female,ko,mid,0.00010178265042021695,0.0,0.0
Greg Laswell,US,Male,en,mid,0.00014540378631459563,0.0,7.213241292398154e-05
Salvador Sobral,PT,Male,pt,mid,0.00017448454357751477,0.00016635809999854888,8.317904999927444e-05
Gilberto Gil,BR,Male,pt,high,0.0018902492220897432,0.0005709826560143981,0.00033271619999709776
Rita Lee,BR,Female,pt,mid,0.00017448454357751477,0.0,0.0
Akon,SN,Male,en,high,0.0007560996888358973,0.00018258796805435353,0.0
Jon Secada,US,Male,en,low,1.4540378631459563e-05,0.0,0.0
Cass McCombs,US,Male,en,high,0.0005089132521010847,0.0006377994205905594,0.00032968589911360515
Four Tet,UK,Male,no_lyrics,high,0.0015558205135661732,0.012001880664626895,0.015960610911824092
Morrissey,UK,Male,en,high,0.0010469072614650886,7.872020627752526e-05,0.00015744041255505052
PJ Harvey,UK,Female,en,high,0.0030534795126065085,0.002067122875762298,0.0015474283910799495
A$AP Rocky,US,Male,en,low,7.270189315729782e-05,0.0,0.0
Trey Songz,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Martin Garrix,NL,Male,en,mid,0.00017448454357751477,0.0,0.0
Steven Price,UK,Male,no_lyrics,mid,0.00015994416494605519,0.00017525435326349012,0.0001854210732656421
My Brightest Diamond,US,Female,en,high,0.0003925902230494082,0.0,0.0
Tom Odell,UK,Male,en,high,0.0008578823392561142,0.0002756211942004184,0.0
Sam Cooke,US,Male,en,high,0.0007706400674673569,0.0,0.0
Hercules and Love Affair,UK,Male,en,low,2.9080757262919125e-05,0.0,0.0
Arthur Russell,US,Male,en,high,0.0004071306016808678,0.00015744041255505052,0.0
John Cale,US,Male,en,high,0.0007706400674673569,0.0003193165563847802,0.0006616979435312089
Kasia Kowalska,PL,Female,pl,low,7.270189315729782e-05,0.0,0.0
Ana Tijoux,CL,Female,es,low,1.4540378631459563e-05,0.0,0.0
Shakira,CO,Female,es,high,0.0010178265042021695,0.0,0.0
edIT,UK,Male,no_lyrics,mid,0.0001163230290516765,0.0001854210732656421,9.653414698596486e-05
Mika,BA,Male,en,high,0.0008724227178875738,7.213241292398154e-05,0.0
George Harrison,UK,Male,en,high,0.0006106959025213017,0.0,0.0
SZA,US,Female,en,high,0.00036350946578648906,0.0,0.0
Ellie Goulding,UK,Female,en,high,0.0020501933870357984,0.0,0.0
Gloria Estefan,US,Female,en,high,0.0005816151452583825,0.00024061946255432494,0.0
Rita Ora,UK,Female,en,high,0.0024718643673481257,0.003794366724946058,0.004818225369924317
Balam Acab,US,Male,no_lyrics,low,5.816151452583825e-05,0.0,0.0
Anastacia,US,Female,en,high,0.0008433419606246546,7.872020627752526e-05,0.0
Marika Hackman,UK,Female,en,high,0.00033442870852356995,0.0,0.0
Rufus Wainwright,CA,Male,en,high,0.0004362113589437869,7.511816718184699e-05,0.0
Toquinho,BR,Male,pt,mid,0.00010178265042021695,0.0,0.0
Gal Costa,BR,Female,pt,high,0.0017739261930380668,0.0007360917234542933,0.00033271619999709776
Galt Macdermot,CA,Male,no_lyrics,mid,0.00013086340768313608,0.00019306829397192971,9.653414698596486e-05
Sandy,FR,Female,pt,mid,0.00021810567947189345,0.0,0.0
Djavan,BR,Male,pt,high,0.0009160438537819524,0.0003339652325557514,8.317904999927444e-05
Duncan Laurence,NL,Male,en,high,0.002573647017768343,0.006292984271550469,0.007175170658293955
The Kite String Tangle,AU,Male,en,low,1.4540378631459563e-05,0.0,0.0
Peter Doherty,UK,Male,en,low,1.4540378631459563e-05,0.0,0.0
PINK GUY,JP,Male,en,high,0.00036350946578648906,8.888692627967726e-05,0.0
Janet Jackson,US,Female,en,high,0.0009742053683077907,0.0,0.0
Waylon Jennings,US,Male,en,mid,0.00013086340768313608,7.213241292398154e-05,0.0
Lost Frequencies,BE,Male,en,high,0.0007270189315729781,8.888692627967726e-05,0.00012476857499891167
Paulinho Da Viola,BR,Male,pt,mid,0.00018902492220897432,8.317904999927444e-05,7.872020627752526e-05
Joss Stone,UK,Female,0,high,0.0005961555238898421,0.0,0.0
Kate Bush,UK,Female,0,high,0.003184342920289644,0.0009465159793912296,0.0
Andreas Johnson,SE,Male,en,mid,8.724227178875738e-05,0.0,0.0
Björk,IS,Female,en,high,0.005467182365428796,0.006247432060361418,0.007552643334119181
Thomas Newman,US,Male,no_lyrics,mid,8.724227178875738e-05,0.0,0.0
Missy Higgins,AU,Female,en,low,2.9080757262919125e-05,0.0,0.0
Tori Kelly,US,Female,en,mid,0.00014540378631459563,0.0,0.0
Wiktoria,SE,Female,en,low,1.4540378631459563e-05,0.0,0.0
Loreena McKennitt,CA,Female,en,mid,0.00021810567947189345,8.317904999927444e-05,0.0
Vanessa da Mata,BR,Female,pt,high,0.0005234536307325443,0.00024507830627607414,7.872020627752526e-05
The Weeknd,CA,Male,en,high,0.001701224299880769,0.0002605392404474891,0.0
Weyes Blood,US,Female,en,high,0.011079768517172187,0.026598007928479817,0.02590688249002166
A Fine Frenzy,US,Female,en,mid,0.00026172681536627216,0.0,0.0
Cate le Bon,UK,Female,0,high,0.00030534795126065085,0.0,0.0
Bridget St. John,UK,Female,en,low,2.9080757262919125e-05,0.0,0.0
Emily Browning,AU,Female,en,low,1.4540378631459563e-05,0.0,0.0
Lulu Santos,BR,Male,pt,mid,0.00013086340768313608,0.0,0.0
Spinvis,NL,Male,nl,high,0.00033442870852356995,0.0,0.0
James Blake,UK,Male,en,high,0.008273475441300492,0.015979807987767193,0.03125379625380115
Neko Case,US,Female,en,high,0.0016430627853549306,0.00015829721718112143,0.0001720659762789517
Janis Ian,US,Female,en,low,4.362113589437869e-05,0.0,0.0
Lil Lotus,US,Male,en,mid,8.724227178875738e-05,0.0,0.0
Dernière Volonté,FR,Male,no_lyrics,high,0.00033442870852356995,0.0003708421465312842,0.0
Rome,IL,Male,en,high,0.00034896908715502953,0.0003224094026175197,0.0
Ashlee Simpson,US,Female,en,high,0.00030534795126065085,0.0,0.0
Courtney Barnett,AU,Female,en,high,0.0006688574170471399,7.872020627752526e-05,0.0
MAVI PHOENIX,AT,Male,en,low,1.4540378631459563e-05,0.0,0.0
Agnes Obel,DK,Female,en,mid,0.00018902492220897432,8.317904999927444e-05,0.00024953714999782333
Veronica Maggio,SE,Female,sv,high,0.0005525343879954634,0.0,0.0
Milow,BE,Male,en,high,0.000465292116206706,8.888692627967726e-05,0.0
Qveen Herby,US,Female,en,low,2.9080757262919125e-05,0.0,0.0
Devendra Banhart,US,Male,en,high,0.002224677930613313,0.0009925218920147165,0.0006068643047336326
Helena Deland,CA,Female,en,mid,0.00010178265042021695,0.00015744041255505052,0.0
Tracy Chapman,US,Female,en,high,0.0007270189315729781,0.0003804254446805388,0.0
Toro y Moi,US,Male,en,high,0.0062959839474219905,0.0173626938494704,0.025428762382664248
Ariana Grande,US,Female,en,high,0.05532614069270364,0.06639724052426965,0.03908403659306366
Syd Barrett,UK,Male,en,mid,0.00014540378631459563,0.0,0.0
Lush,FI,Male,en,high,0.0014540378631459562,0.0007218352752159049,0.00037161108041567395
Jackie Wilson,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Aretha Franklin,US,Female,en,high,0.0005089132521010847,0.0001720659762789517,0.0
Peter Frampton,UK,Male,en,mid,0.0002762671939977317,0.0,0.0
Caribou,CA,Male,en,high,0.0012213918050426034,0.0003400283806094041,7.213241292398154e-05
Steve Winwood,UK,Male,en,high,0.0012795533195684415,0.000480359008035509,0.0
Selena Gomez,US,Female,en,high,0.0008578823392561142,0.0,0.0
Robin Thicke,US,Male,en,mid,0.00014540378631459563,0.0,0.0
Brian McKnight,US,Male,en,high,0.0004362113589437869,0.00010746980087250656,0.00016400509346152425
Christina Aguilera,US,Female,en,high,0.0020211126297728795,0.00015085261920150679,8.888692627967726e-05
Norah Jones,US,Female,en,high,0.0029516968621862913,0.0016038450404700982,0.0004383772551032891
