user_country,user_age,user_gender,user_id,iteration_1_ndcg@10,iteration_1_average_pop,iteration_2_ndcg@10,iteration_2_average_pop,train_pop
US,25,m,183,1.0,0.0033573734260040127,1.0,0.0032584988513100883,0.004645965019806006
BR,20,m,184,0.5541432109622958,0.008320004652921162,0.4252084336260237,0.013918050426033094,0.0066058935860964325
NL,22,m,185,0.3557772116892465,0.004513333527205048,0.6177639991612475,0.005358129525692849,0.002938478336157692
FR,33,m,186,0.0,0.005768168203100009,0.3391602052736161,0.0036438188850437666,0.002134869709654298
CA,27,m,187,0.0,0.01282315991508419,0.5306972923267992,0.00966935178992061,0.0018734718621303667
UK,22,m,188,0.0,0.03174310059033937,0.8318724637288826,0.011398202809201152,0.007831205591260264
CA,23,m,189,0.3148801306676309,0.020955593683659523,0.3301376494471202,0.004889929333759851,0.0024648774321615803
PT,27,m,190,0.4943572357534482,0.00994998109750778,0.4170606134915054,0.00670602262482915,0.0017264680127826084
AR,28,m,191,1.0,0.00502660889289557,0.5709662133861837,0.005490446971239131,0.0032358951718011826
US,25,m,192,1.0,0.006640590920987582,1.0,0.008052461686102307,0.0035758794927135845
UK,27,m,193,0.5531464700081437,0.005337772995608806,0.2748763329142908,0.004221071916712711,0.0013315274389319566
UK,25,m,194,0.1374381664571454,0.026685956902317738,0.5026317885449211,0.02136708639892983,0.0038754749599211476
PL,33,m,195,,,,,
MX,25,m,196,1.0,0.004032046994503736,1.0,0.008904527873905835,0.002887206892712046
US,29,m,197,,,,,
US,20,m,198,1.0,0.0030389391339750486,0.1480409554829326,0.012211009974699741,0.0005525343879954634
BR,26,f,199,0.8553475075669357,0.003360281501730305,0.2200917662980801,0.007178584930351587,0.0015163937176616387
RU,26,m,200,0.7909506325094737,0.009635908919068254,0.6968404678259545,0.004923372204612209,0.003894949939347906
BR,30,m,201,0.9363792118010484,0.00594410678454067,0.6528642754944294,0.004020414691598569,0.0033862698686082235
BE,44,f,202,0.4283650469300962,0.0048375839706865965,0.3148801306676309,0.003889551283915433,0.004666294065041979
FI,26,f,203,0.3932591258696538,0.012634134992875214,0.793584067764911,0.005483176781923401,0.016443526576528828
BR,24,m,204,0.800693766409882,0.011550876784831477,1.0,0.0049800796812749,0.02455607172926446
DE,27,m,205,0.3868528072345416,0.0022973798237706108,0.0,0.01701224299880769,0.000510990449048436
BG,30,m,206,0.4692787260227564,0.0068034431616599295,0.4141229456887962,0.0055137115770494665,0.003679523592572128
BE,38,m,207,0.0,0.01197836391659639,0.1183827929553629,0.004453717974816064,0.0014575628034202495
PL,22,m,208,,,,,
UK,23,m,209,1.0,0.010464710501061448,1.0,0.004475528542763253,0.0020823124323709626
FI,19,f,210,0.6131471927654584,0.00298804780876494,0.3903800499921017,0.0062116497513595255,0.00019920318725099602
BG,33,f,211,0.6309297535714575,0.0015500043621135893,0.2640681225725909,0.003681623869485561,0.0006979381743100591
DE,24,m,212,0.0,0.005331956844156222,0.0,0.005712914764300463,0.0016692354668915578
LV,32,m,213,0.3372569370235428,0.005817605490446971,0.5384313152574521,0.004791054759065926,0.0012484897834012325
DE,21,m,214,0.0,0.004002966237240818,0.187951603287528,0.005657661325500917,0.0017944537864001272
UK,33,m,215,1.0,0.0028717247797132636,1.0,0.002500945124611045,0.006501518257868768
