user_id,_AU,_BR,_CA,_DE,_FR,_JP,_NZ,_SE,_UK,_US
158,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
159,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
160,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
161,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
162,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
163,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.4
164,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
165,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
166,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
167,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
168,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
169,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
170,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
171,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
172,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
173,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
174,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.5
175,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
176,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
177,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.4
178,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
179,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
181,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
182,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
183,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.4
184,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
185,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
186,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.6
187,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
188,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
189,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
190,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
191,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
192,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.5
193,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
194,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
196,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
198,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
199,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
200,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
201,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
202,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
203,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
204,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
205,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
206,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
207,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
209,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
210,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
211,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.5
212,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
213,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
214,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.5
215,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
216,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
217,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
218,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.6
219,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
220,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
221,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
223,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
224,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
225,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
226,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.6
227,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
228,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
229,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
230,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
231,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
232,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
233,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.2,0.4
234,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
235,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
236,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4
237,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
238,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
239,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
240,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
241,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
242,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
243,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
245,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
246,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
247,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
248,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
249,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
250,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
251,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
252,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
253,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
254,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
256,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
257,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
258,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
259,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
261,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
262,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
263,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
264,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
265,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
266,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
267,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
268,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
269,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
270,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
271,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
272,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
273,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
274,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
275,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
276,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
277,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
278,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
279,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
280,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
281,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
282,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
284,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
286,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
287,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.4
288,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
289,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
290,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
291,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
292,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
293,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
294,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
295,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.5
296,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.6
297,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
299,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
300,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
301,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
302,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
303,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
304,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
305,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
306,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
307,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
308,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
309,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.4
310,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
311,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
312,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
313,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
315,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
316,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
317,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
318,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
319,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
320,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
321,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
322,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
323,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
324,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
325,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
326,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
328,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
330,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
331,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
332,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
333,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
334,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
335,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
336,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
337,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
338,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5
339,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.4
340,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
341,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
342,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
343,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
344,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
345,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
346,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
347,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
348,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.5
349,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.6
350,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.5
351,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.4
352,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.5
